id,ethnicity,religion,sign
249,asian,agnosticism but not too serious about it,gemini and it&rsquo;s fun to think about
262,hispanic / latin,catholicism but not too serious about it,aquarius but it doesn&rsquo;t matter
264,"asian, pacific islander",atheism and laughing about it,pisces but it doesn&rsquo;t matter
266,white,christianity and very serious about it,libra and it&rsquo;s fun to think about
267,white,other and somewhat serious about it,cancer but it doesn&rsquo;t matter
278,white,buddhism but not too serious about it,aquarius and it&rsquo;s fun to think about
281,white,other,libra and it&rsquo;s fun to think about
283,white,christianity but not too serious about it,aries but it doesn&rsquo;t matter
298,hispanic / latin,agnosticism,taurus and it&rsquo;s fun to think about
300,white,agnosticism but not too serious about it,pisces and it&rsquo;s fun to think about
304,hispanic / latin,catholicism but not too serious about it,leo but it doesn&rsquo;t matter
310,white,christianity but not too serious about it,scorpio and it&rsquo;s fun to think about
322,white,atheism and very serious about it,gemini and it&rsquo;s fun to think about
328,white,judaism but not too serious about it,leo but it doesn&rsquo;t matter
335,white,atheism but not too serious about it,capricorn and it&rsquo;s fun to think about
337,white,catholicism but not too serious about it,leo and it&rsquo;s fun to think about
338,white,agnosticism and somewhat serious about it,taurus but it doesn&rsquo;t matter
347,white,atheism and laughing about it,aquarius but it doesn&rsquo;t matter
349,white,buddhism and laughing about it,taurus but it doesn&rsquo;t matter
354,white,atheism,cancer but it doesn&rsquo;t matter
356,white,buddhism and laughing about it,aries but it doesn&rsquo;t matter
361,white,other and laughing about it,libra and it&rsquo;s fun to think about
362,white,atheism,taurus but it doesn&rsquo;t matter
367,white,atheism,leo
372,asian,atheism and laughing about it,gemini but it doesn&rsquo;t matter
398,white,agnosticism,libra but it doesn&rsquo;t matter
403,hispanic / latin,catholicism but not too serious about it,gemini but it doesn&rsquo;t matter
404,white,other and somewhat serious about it,libra and it&rsquo;s fun to think about
405,white,buddhism but not too serious about it,cancer
411,"native american, white",catholicism but not too serious about it,taurus but it doesn&rsquo;t matter
414,white,other but not too serious about it,virgo but it doesn&rsquo;t matter
415,other,christianity,capricorn
420,white,agnosticism but not too serious about it,libra and it&rsquo;s fun to think about
436,white,catholicism and laughing about it,virgo but it doesn&rsquo;t matter
450,white,agnosticism but not too serious about it,aquarius but it doesn&rsquo;t matter
459,white,buddhism and somewhat serious about it,aries
460,"asian, pacific islander",catholicism and somewhat serious about it,pisces and it&rsquo;s fun to think about
463,white,agnosticism but not too serious about it,capricorn but it doesn&rsquo;t matter
469,white,christianity but not too serious about it,taurus and it&rsquo;s fun to think about
471,"white, other",other and laughing about it,virgo and it&rsquo;s fun to think about
472,white,other and laughing about it,virgo and it&rsquo;s fun to think about
490,white,other and somewhat serious about it,leo but it doesn&rsquo;t matter
493,white,judaism but not too serious about it,scorpio and it&rsquo;s fun to think about
495,"hispanic / latin, other",agnosticism and laughing about it,libra and it&rsquo;s fun to think about
496,asian,other but not too serious about it,scorpio but it doesn&rsquo;t matter
502,white,agnosticism,leo and it&rsquo;s fun to think about
504,white,other but not too serious about it,aries and it&rsquo;s fun to think about
507,white,atheism but not too serious about it,capricorn and it&rsquo;s fun to think about
512,white,atheism but not too serious about it,leo and it&rsquo;s fun to think about
515,white,buddhism and laughing about it,virgo and it&rsquo;s fun to think about
518,white,buddhism but not too serious about it,cancer and it matters a lot
519,white,other and laughing about it,scorpio and it&rsquo;s fun to think about
542,"white, other",agnosticism and very serious about it,aquarius and it&rsquo;s fun to think about
552,"native american, white, other",other and very serious about it,aquarius and it matters a lot
564,white,atheism and somewhat serious about it,cancer and it&rsquo;s fun to think about
568,white,other,libra and it&rsquo;s fun to think about
570,white,catholicism,libra
572,white,christianity but not too serious about it,virgo and it&rsquo;s fun to think about
574,hispanic / latin,catholicism but not too serious about it,pisces but it doesn&rsquo;t matter
575,white,catholicism but not too serious about it,gemini but it doesn&rsquo;t matter
590,white,other and laughing about it,aries and it&rsquo;s fun to think about
592,white,atheism,pisces but it doesn&rsquo;t matter
593,white,judaism and laughing about it,aquarius but it doesn&rsquo;t matter
598,"hispanic / latin, white",catholicism but not too serious about it,sagittarius and it&rsquo;s fun to think about
615,white,christianity and somewhat serious about it,aquarius and it&rsquo;s fun to think about
616,white,agnosticism and very serious about it,capricorn and it&rsquo;s fun to think about
622,white,agnosticism and laughing about it,taurus but it doesn&rsquo;t matter
634,"hispanic / latin, white",agnosticism and somewhat serious about it,aries but it doesn&rsquo;t matter
637,white,judaism but not too serious about it,virgo and it&rsquo;s fun to think about
639,white,catholicism but not too serious about it,virgo and it&rsquo;s fun to think about
640,pacific islander,catholicism and laughing about it,capricorn but it doesn&rsquo;t matter
653,white,atheism and laughing about it,cancer and it&rsquo;s fun to think about
654,white,agnosticism,aries
665,white,agnosticism but not too serious about it,capricorn but it doesn&rsquo;t matter
666,white,christianity,gemini but it doesn&rsquo;t matter
678,asian,christianity and somewhat serious about it,capricorn and it&rsquo;s fun to think about
687,white,agnosticism but not too serious about it,gemini and it&rsquo;s fun to think about
699,white,other but not too serious about it,scorpio but it doesn&rsquo;t matter
711,"asian, pacific islander",catholicism and somewhat serious about it,sagittarius but it doesn&rsquo;t matter
719,white,agnosticism,scorpio but it doesn&rsquo;t matter
736,black,other and laughing about it,libra and it&rsquo;s fun to think about
738,white,other,scorpio
743,white,atheism and laughing about it,libra but it doesn&rsquo;t matter
744,hispanic / latin,catholicism and very serious about it,gemini
750,"hispanic / latin, white",other and somewhat serious about it,capricorn but it doesn&rsquo;t matter
753,pacific islander,christianity and somewhat serious about it,gemini and it&rsquo;s fun to think about
755,white,other and very serious about it,gemini
764,white,atheism,taurus but it doesn&rsquo;t matter
765,black,other and laughing about it,pisces and it&rsquo;s fun to think about
778,"pacific islander, hispanic / latin",catholicism but not too serious about it,capricorn but it doesn&rsquo;t matter
783,white,catholicism,cancer
798,black,christianity and very serious about it,aries but it doesn&rsquo;t matter
800,"native american, white",other and somewhat serious about it,aquarius but it doesn&rsquo;t matter
821,white,other,pisces and it&rsquo;s fun to think about
822,white,other,scorpio and it&rsquo;s fun to think about
826,asian,other and somewhat serious about it,sagittarius and it&rsquo;s fun to think about
866,"middle eastern, white",atheism and laughing about it,virgo but it doesn&rsquo;t matter
869,white,atheism and very serious about it,virgo but it doesn&rsquo;t matter
884,white,other and laughing about it,scorpio but it doesn&rsquo;t matter
888,white,agnosticism but not too serious about it,cancer but it doesn&rsquo;t matter
892,white,agnosticism and laughing about it,virgo but it doesn&rsquo;t matter
900,"asian, black",christianity,taurus and it&rsquo;s fun to think about
905,white,judaism and laughing about it,scorpio but it doesn&rsquo;t matter
909,"hispanic / latin, white",judaism and laughing about it,aries and it&rsquo;s fun to think about
910,white,christianity,scorpio and it&rsquo;s fun to think about
912,white,buddhism,taurus
915,white,agnosticism,taurus and it&rsquo;s fun to think about
919,hispanic / latin,atheism and laughing about it,leo but it doesn&rsquo;t matter
934,"white, other",atheism and very serious about it,gemini but it doesn&rsquo;t matter
935,white,christianity and laughing about it,gemini but it doesn&rsquo;t matter
937,white,agnosticism but not too serious about it,gemini but it doesn&rsquo;t matter
943,white,atheism and somewhat serious about it,taurus and it&rsquo;s fun to think about
950,other,atheism and laughing about it,taurus but it doesn&rsquo;t matter
951,white,agnosticism and laughing about it,leo but it doesn&rsquo;t matter
952,asian,agnosticism and laughing about it,leo but it doesn&rsquo;t matter
981,white,atheism and somewhat serious about it,virgo and it&rsquo;s fun to think about
992,white,catholicism but not too serious about it,aries but it doesn&rsquo;t matter
994,black,christianity,sagittarius
1006,white,atheism and very serious about it,capricorn but it doesn&rsquo;t matter
1008,white,other but not too serious about it,gemini but it doesn&rsquo;t matter
1025,white,agnosticism and laughing about it,virgo but it doesn&rsquo;t matter
1028,white,christianity but not too serious about it,virgo and it&rsquo;s fun to think about
1045,white,agnosticism,aries and it&rsquo;s fun to think about
1057,"hispanic / latin, white",catholicism but not too serious about it,capricorn and it&rsquo;s fun to think about
1058,white,agnosticism and laughing about it,scorpio and it&rsquo;s fun to think about
1061,white,other,libra and it&rsquo;s fun to think about
1079,white,catholicism but not too serious about it,capricorn but it doesn&rsquo;t matter
1082,white,christianity but not too serious about it,aries and it&rsquo;s fun to think about
1084,white,other and laughing about it,pisces and it&rsquo;s fun to think about
1086,"native american, white",agnosticism and laughing about it,leo but it doesn&rsquo;t matter
1095,white,other but not too serious about it,pisces and it&rsquo;s fun to think about
1096,hispanic / latin,catholicism but not too serious about it,aquarius but it doesn&rsquo;t matter
1107,asian,other but not too serious about it,sagittarius but it doesn&rsquo;t matter
1111,asian,atheism but not too serious about it,sagittarius and it&rsquo;s fun to think about
1119,white,atheism and somewhat serious about it,capricorn and it&rsquo;s fun to think about
1128,white,agnosticism and laughing about it,cancer and it&rsquo;s fun to think about
1131,middle eastern,islam,scorpio
1145,white,other and very serious about it,cancer and it&rsquo;s fun to think about
1146,asian,atheism and laughing about it,aries but it doesn&rsquo;t matter
1151,white,atheism,sagittarius
1153,"hispanic / latin, white",agnosticism and laughing about it,leo but it doesn&rsquo;t matter
1166,other,buddhism but not too serious about it,leo but it doesn&rsquo;t matter
1172,asian,christianity but not too serious about it,sagittarius and it&rsquo;s fun to think about
1184,white,other,pisces but it doesn&rsquo;t matter
1206,white,christianity but not too serious about it,scorpio and it&rsquo;s fun to think about
1210,white,atheism and laughing about it,gemini but it doesn&rsquo;t matter
1237,white,christianity but not too serious about it,virgo but it doesn&rsquo;t matter
1246,"asian, white",atheism but not too serious about it,capricorn but it doesn&rsquo;t matter
1248,asian,other but not too serious about it,leo but it doesn&rsquo;t matter
1249,asian,buddhism but not too serious about it,aquarius
1254,black,christianity but not too serious about it,aries and it&rsquo;s fun to think about
1271,white,catholicism and somewhat serious about it,sagittarius but it doesn&rsquo;t matter
1282,white,other and laughing about it,sagittarius and it&rsquo;s fun to think about
1284,white,catholicism and laughing about it,sagittarius but it doesn&rsquo;t matter
1298,white,agnosticism and somewhat serious about it,pisces but it doesn&rsquo;t matter
1302,asian,other and very serious about it,libra and it matters a lot
1304,white,other and somewhat serious about it,pisces and it&rsquo;s fun to think about
1307,white,buddhism but not too serious about it,gemini but it doesn&rsquo;t matter
1313,white,other and laughing about it,taurus and it&rsquo;s fun to think about
1315,white,christianity and laughing about it,leo but it doesn&rsquo;t matter
1320,white,atheism and somewhat serious about it,sagittarius but it doesn&rsquo;t matter
1321,"hispanic / latin, other",christianity and somewhat serious about it,capricorn but it doesn&rsquo;t matter
1324,white,judaism and somewhat serious about it,pisces but it doesn&rsquo;t matter
1325,white,agnosticism,gemini and it&rsquo;s fun to think about
1337,white,other,virgo and it&rsquo;s fun to think about
1339,white,agnosticism and laughing about it,sagittarius and it&rsquo;s fun to think about
1352,white,agnosticism and laughing about it,virgo but it doesn&rsquo;t matter
1356,white,other and laughing about it,leo but it doesn&rsquo;t matter
1358,white,atheism and laughing about it,scorpio but it doesn&rsquo;t matter
1363,white,atheism and laughing about it,cancer but it doesn&rsquo;t matter
1364,white,agnosticism,leo
1379,white,atheism but not too serious about it,aries and it&rsquo;s fun to think about
1387,"white, other",other and very serious about it,cancer and it&rsquo;s fun to think about
1402,asian,buddhism,scorpio
1403,white,agnosticism but not too serious about it,leo and it&rsquo;s fun to think about
1405,white,other and laughing about it,capricorn and it&rsquo;s fun to think about
1411,white,agnosticism,scorpio and it&rsquo;s fun to think about
1417,asian,other and somewhat serious about it,libra and it&rsquo;s fun to think about
1418,asian,buddhism but not too serious about it,gemini but it doesn&rsquo;t matter
1425,white,atheism and laughing about it,aquarius but it doesn&rsquo;t matter
1432,white,catholicism and somewhat serious about it,leo and it&rsquo;s fun to think about
1434,hispanic / latin,atheism and laughing about it,leo and it&rsquo;s fun to think about
1449,white,atheism but not too serious about it,cancer but it doesn&rsquo;t matter
1455,other,judaism,taurus but it doesn&rsquo;t matter
1458,white,christianity and somewhat serious about it,libra but it doesn&rsquo;t matter
1471,white,agnosticism but not too serious about it,leo but it doesn&rsquo;t matter
1475,white,other and very serious about it,aries and it&rsquo;s fun to think about
1482,pacific islander,catholicism but not too serious about it,gemini and it&rsquo;s fun to think about
1498,white,agnosticism,aquarius and it&rsquo;s fun to think about
1501,asian,agnosticism but not too serious about it,pisces but it doesn&rsquo;t matter
1521,white,agnosticism and laughing about it,capricorn but it doesn&rsquo;t matter
1522,white,agnosticism and laughing about it,virgo but it doesn&rsquo;t matter
1524,hispanic / latin,catholicism and somewhat serious about it,scorpio and it&rsquo;s fun to think about
1525,indian,atheism,scorpio
1529,white,agnosticism and laughing about it,leo and it&rsquo;s fun to think about
1545,white,judaism but not too serious about it,taurus and it&rsquo;s fun to think about
1547,white,judaism and laughing about it,pisces and it&rsquo;s fun to think about
1560,hispanic / latin,agnosticism and laughing about it,aries but it doesn&rsquo;t matter
1563,white,agnosticism but not too serious about it,libra but it doesn&rsquo;t matter
1567,white,atheism,scorpio but it doesn&rsquo;t matter
1572,white,other but not too serious about it,scorpio and it&rsquo;s fun to think about
1586,white,judaism but not too serious about it,aries and it&rsquo;s fun to think about
1610,white,other and laughing about it,pisces but it doesn&rsquo;t matter
1616,"white, other",atheism and laughing about it,scorpio
1636,asian,agnosticism but not too serious about it,cancer but it doesn&rsquo;t matter
1639,white,agnosticism and laughing about it,capricorn but it doesn&rsquo;t matter
1642,black,other and very serious about it,taurus but it doesn&rsquo;t matter
1643,white,atheism but not too serious about it,gemini but it doesn&rsquo;t matter
1655,white,atheism and laughing about it,taurus but it doesn&rsquo;t matter
1673,white,christianity,capricorn
1675,indian,agnosticism,leo but it doesn&rsquo;t matter
1677,white,other but not too serious about it,leo and it&rsquo;s fun to think about
1679,white,christianity but not too serious about it,aries and it&rsquo;s fun to think about
1680,white,other,aries
1681,white,atheism and somewhat serious about it,virgo and it&rsquo;s fun to think about
1686,white,judaism and laughing about it,libra but it doesn&rsquo;t matter
1694,asian,catholicism and somewhat serious about it,sagittarius and it&rsquo;s fun to think about
1696,white,buddhism and laughing about it,taurus
1697,hispanic / latin,catholicism,aquarius
1701,black,christianity,libra and it&rsquo;s fun to think about
1706,hispanic / latin,christianity,taurus
1708,"black, hispanic / latin",buddhism,sagittarius and it&rsquo;s fun to think about
1715,white,atheism and somewhat serious about it,leo and it&rsquo;s fun to think about
1717,indian,atheism and somewhat serious about it,aquarius but it doesn&rsquo;t matter
1723,white,other,leo but it doesn&rsquo;t matter
1735,white,atheism and laughing about it,aries but it doesn&rsquo;t matter
1741,white,judaism but not too serious about it,cancer and it&rsquo;s fun to think about
1746,white,agnosticism but not too serious about it,virgo but it doesn&rsquo;t matter
1750,white,christianity but not too serious about it,pisces and it&rsquo;s fun to think about
1751,hispanic / latin,catholicism and laughing about it,pisces but it doesn&rsquo;t matter
1752,white,catholicism but not too serious about it,aries but it doesn&rsquo;t matter
1766,white,christianity but not too serious about it,capricorn but it doesn&rsquo;t matter
1773,white,catholicism but not too serious about it,aries but it doesn&rsquo;t matter
1784,asian,catholicism,leo
1787,asian,catholicism and laughing about it,sagittarius but it doesn&rsquo;t matter
1793,hispanic / latin,christianity,aquarius
1797,asian,atheism but not too serious about it,virgo but it doesn&rsquo;t matter
1814,white,atheism but not too serious about it,virgo but it doesn&rsquo;t matter
1824,white,agnosticism,aquarius
1825,black,christianity but not too serious about it,leo and it&rsquo;s fun to think about
1841,white,judaism and laughing about it,gemini but it doesn&rsquo;t matter
1848,white,other but not too serious about it,leo but it doesn&rsquo;t matter
1851,white,agnosticism and somewhat serious about it,gemini and it&rsquo;s fun to think about
1855,other,other and very serious about it,sagittarius and it&rsquo;s fun to think about
1860,asian,agnosticism but not too serious about it,capricorn and it&rsquo;s fun to think about
1861,white,other,capricorn and it&rsquo;s fun to think about
1863,black,other but not too serious about it,aquarius and it&rsquo;s fun to think about
1884,white,agnosticism,gemini and it&rsquo;s fun to think about
1891,white,agnosticism and laughing about it,taurus but it doesn&rsquo;t matter
1893,white,christianity but not too serious about it,libra and it&rsquo;s fun to think about
1902,other,agnosticism and laughing about it,pisces but it doesn&rsquo;t matter
1914,black,other,libra and it&rsquo;s fun to think about
1926,white,agnosticism but not too serious about it,gemini but it doesn&rsquo;t matter
1934,white,atheism,leo but it doesn&rsquo;t matter
1936,asian,buddhism and laughing about it,leo and it&rsquo;s fun to think about
1937,white,atheism and laughing about it,gemini and it&rsquo;s fun to think about
1938,asian,christianity but not too serious about it,cancer and it&rsquo;s fun to think about
1943,white,other and very serious about it,virgo but it doesn&rsquo;t matter
1946,white,catholicism but not too serious about it,libra but it doesn&rsquo;t matter
1950,white,catholicism but not too serious about it,aquarius and it&rsquo;s fun to think about
1956,white,other and very serious about it,cancer
1957,asian,christianity,gemini
1961,white,other but not too serious about it,taurus but it doesn&rsquo;t matter
1964,white,agnosticism,scorpio and it&rsquo;s fun to think about
1974,other,other but not too serious about it,virgo and it&rsquo;s fun to think about
1976,asian,agnosticism,aries
1980,asian,agnosticism and laughing about it,leo
1986,white,atheism,sagittarius and it&rsquo;s fun to think about
1990,white,christianity but not too serious about it,capricorn and it&rsquo;s fun to think about
1997,other,other but not too serious about it,gemini and it&rsquo;s fun to think about
2009,black,catholicism but not too serious about it,scorpio and it&rsquo;s fun to think about
2013,white,agnosticism and laughing about it,libra but it doesn&rsquo;t matter
2014,white,atheism,cancer
2016,white,other,pisces and it&rsquo;s fun to think about
2038,white,other but not too serious about it,leo but it doesn&rsquo;t matter
2042,other,atheism,sagittarius and it&rsquo;s fun to think about
2044,white,atheism but not too serious about it,cancer and it&rsquo;s fun to think about
2045,other,islam,aries but it doesn&rsquo;t matter
2050,"hispanic / latin, white",atheism,cancer but it doesn&rsquo;t matter
2063,white,judaism but not too serious about it,sagittarius but it doesn&rsquo;t matter
2065,white,christianity but not too serious about it,sagittarius and it&rsquo;s fun to think about
2070,white,christianity but not too serious about it,virgo but it doesn&rsquo;t matter
2077,white,christianity,virgo
2079,white,other and laughing about it,capricorn and it&rsquo;s fun to think about
2084,hispanic / latin,catholicism but not too serious about it,aries but it doesn&rsquo;t matter
2086,middle eastern,other,virgo but it doesn&rsquo;t matter
2087,white,agnosticism and laughing about it,cancer but it doesn&rsquo;t matter
2090,white,buddhism but not too serious about it,gemini and it&rsquo;s fun to think about
2091,white,agnosticism but not too serious about it,pisces but it doesn&rsquo;t matter
2092,"hispanic / latin, white",other,cancer and it&rsquo;s fun to think about
2096,"white, other",other,aquarius but it doesn&rsquo;t matter
2098,white,atheism but not too serious about it,capricorn but it doesn&rsquo;t matter
2102,white,christianity,leo but it doesn&rsquo;t matter
2107,white,agnosticism and laughing about it,cancer but it doesn&rsquo;t matter
2113,white,atheism,scorpio and it&rsquo;s fun to think about
2124,white,other and laughing about it,capricorn and it&rsquo;s fun to think about
2127,black,agnosticism but not too serious about it,aquarius and it&rsquo;s fun to think about
2130,asian,buddhism but not too serious about it,taurus and it&rsquo;s fun to think about
2131,white,other and laughing about it,aries and it&rsquo;s fun to think about
2139,white,other but not too serious about it,pisces and it&rsquo;s fun to think about
2140,white,other,virgo and it&rsquo;s fun to think about
2145,asian,hinduism and somewhat serious about it,aquarius but it doesn&rsquo;t matter
2149,white,christianity,aquarius but it doesn&rsquo;t matter
2171,white,other,leo but it doesn&rsquo;t matter
2196,asian,atheism,gemini and it&rsquo;s fun to think about
2203,white,atheism but not too serious about it,cancer but it doesn&rsquo;t matter
2213,white,agnosticism,cancer
2218,"asian, black, white",atheism and somewhat serious about it,sagittarius and it&rsquo;s fun to think about
2232,white,other but not too serious about it,libra and it&rsquo;s fun to think about
2233,"asian, pacific islander",buddhism and laughing about it,gemini but it doesn&rsquo;t matter
2234,"asian, pacific islander, white",agnosticism and laughing about it,pisces and it matters a lot
2239,white,agnosticism but not too serious about it,aries but it doesn&rsquo;t matter
2247,asian,agnosticism,capricorn but it doesn&rsquo;t matter
2253,white,other and laughing about it,libra and it&rsquo;s fun to think about
2256,middle eastern,judaism and laughing about it,gemini and it&rsquo;s fun to think about
2261,white,other and laughing about it,virgo and it&rsquo;s fun to think about
2271,white,agnosticism and laughing about it,sagittarius but it doesn&rsquo;t matter
2280,hispanic / latin,catholicism,sagittarius
2289,white,agnosticism and laughing about it,virgo but it doesn&rsquo;t matter
2295,white,christianity,aries but it doesn&rsquo;t matter
2296,"pacific islander, white",agnosticism and laughing about it,libra
2308,hispanic / latin,catholicism and somewhat serious about it,libra and it&rsquo;s fun to think about
2318,white,other,scorpio
2323,white,agnosticism but not too serious about it,cancer and it&rsquo;s fun to think about
2338,hispanic / latin,catholicism and somewhat serious about it,pisces but it doesn&rsquo;t matter
2341,other,judaism but not too serious about it,gemini and it matters a lot
2342,hispanic / latin,catholicism and somewhat serious about it,gemini and it&rsquo;s fun to think about
2343,white,other but not too serious about it,gemini and it&rsquo;s fun to think about
2371,hispanic / latin,christianity and very serious about it,gemini and it&rsquo;s fun to think about
2377,white,catholicism and laughing about it,cancer but it doesn&rsquo;t matter
2386,hispanic / latin,atheism,aquarius but it doesn&rsquo;t matter
2395,white,atheism and somewhat serious about it,leo but it doesn&rsquo;t matter
2397,white,atheism,sagittarius
2404,"asian, white",catholicism but not too serious about it,aries but it doesn&rsquo;t matter
2405,black,buddhism and somewhat serious about it,aries and it&rsquo;s fun to think about
2407,white,agnosticism,gemini
2410,white,agnosticism but not too serious about it,sagittarius and it&rsquo;s fun to think about
2413,white,atheism,leo but it doesn&rsquo;t matter
2415,white,atheism but not too serious about it,virgo but it doesn&rsquo;t matter
2422,"black, white, other",other but not too serious about it,aries and it&rsquo;s fun to think about
2434,white,judaism but not too serious about it,aries but it doesn&rsquo;t matter
2435,hispanic / latin,catholicism but not too serious about it,cancer but it doesn&rsquo;t matter
2439,white,atheism and somewhat serious about it,cancer but it doesn&rsquo;t matter
2448,white,atheism and laughing about it,aries but it doesn&rsquo;t matter
2457,white,atheism,libra
2459,white,agnosticism and laughing about it,scorpio and it&rsquo;s fun to think about
2465,asian,catholicism and laughing about it,sagittarius and it&rsquo;s fun to think about
2469,hispanic / latin,other,virgo but it doesn&rsquo;t matter
2478,middle eastern,islam,aquarius
2483,white,agnosticism and laughing about it,leo and it&rsquo;s fun to think about
2486,white,other,sagittarius and it&rsquo;s fun to think about
2503,"indian, white",agnosticism and laughing about it,pisces and it matters a lot
2505,"hispanic / latin, white",other,virgo
2511,white,atheism,cancer
2516,white,buddhism and somewhat serious about it,sagittarius but it doesn&rsquo;t matter
2537,white,agnosticism,sagittarius and it&rsquo;s fun to think about
2540,white,judaism and somewhat serious about it,aries but it doesn&rsquo;t matter
2547,white,other but not too serious about it,pisces and it matters a lot
2553,white,agnosticism,capricorn but it doesn&rsquo;t matter
2556,white,buddhism but not too serious about it,capricorn and it&rsquo;s fun to think about
2562,white,agnosticism but not too serious about it,virgo and it&rsquo;s fun to think about
2566,white,christianity,capricorn
2579,white,other but not too serious about it,libra and it&rsquo;s fun to think about
2587,hispanic / latin,agnosticism and laughing about it,gemini but it doesn&rsquo;t matter
2590,white,atheism,capricorn
2594,white,christianity and somewhat serious about it,scorpio but it doesn&rsquo;t matter
2625,white,other and very serious about it,pisces and it&rsquo;s fun to think about
2626,asian,catholicism but not too serious about it,cancer but it doesn&rsquo;t matter
2629,"asian, pacific islander",catholicism,gemini and it&rsquo;s fun to think about
2632,"black, white, other",judaism but not too serious about it,aquarius but it doesn&rsquo;t matter
2642,white,christianity,gemini and it matters a lot
2643,white,catholicism but not too serious about it,gemini and it&rsquo;s fun to think about
2661,"hispanic / latin, white",other but not too serious about it,cancer and it&rsquo;s fun to think about
2662,white,agnosticism but not too serious about it,pisces but it doesn&rsquo;t matter
2668,"hispanic / latin, white",atheism but not too serious about it,libra and it&rsquo;s fun to think about
2678,white,atheism,scorpio but it doesn&rsquo;t matter
2682,white,christianity but not too serious about it,scorpio but it doesn&rsquo;t matter
2687,white,atheism but not too serious about it,libra but it doesn&rsquo;t matter
2688,asian,christianity but not too serious about it,taurus and it&rsquo;s fun to think about
2692,white,atheism and laughing about it,leo and it&rsquo;s fun to think about
2693,white,judaism but not too serious about it,pisces but it doesn&rsquo;t matter
2702,black,christianity and very serious about it,aquarius and it&rsquo;s fun to think about
2713,white,agnosticism but not too serious about it,scorpio but it doesn&rsquo;t matter
2714,white,christianity but not too serious about it,libra and it&rsquo;s fun to think about
2723,"white, other",other,pisces and it matters a lot
2735,white,other and laughing about it,gemini but it doesn&rsquo;t matter
2746,white,other and somewhat serious about it,aries
2747,asian,atheism but not too serious about it,taurus
2749,asian,catholicism,gemini
2751,white,judaism but not too serious about it,aries and it&rsquo;s fun to think about
2752,asian,agnosticism,aquarius and it&rsquo;s fun to think about
2756,white,atheism and laughing about it,scorpio but it doesn&rsquo;t matter
2771,"black, white",agnosticism and somewhat serious about it,virgo but it doesn&rsquo;t matter
2774,white,christianity,scorpio
2792,"hispanic / latin, white",agnosticism but not too serious about it,pisces but it doesn&rsquo;t matter
2794,black,other but not too serious about it,libra but it doesn&rsquo;t matter
2803,"white, other",christianity but not too serious about it,aries but it doesn&rsquo;t matter
2821,white,agnosticism and somewhat serious about it,aquarius but it doesn&rsquo;t matter
2824,white,catholicism but not too serious about it,aquarius but it doesn&rsquo;t matter
2828,"black, white",agnosticism and laughing about it,cancer but it doesn&rsquo;t matter
2829,white,other but not too serious about it,taurus but it doesn&rsquo;t matter
2841,"middle eastern, white",agnosticism,libra and it&rsquo;s fun to think about
2847,"white, other",other and laughing about it,capricorn but it doesn&rsquo;t matter
2848,"white, other",atheism and somewhat serious about it,cancer and it&rsquo;s fun to think about
2850,white,christianity but not too serious about it,aquarius but it doesn&rsquo;t matter
