id,age,status,sex,orientation,body_type,diet,drinks,drugs,education,height,income,offspring,pets,smokes
242,30,0,0,0,1,0,2,0,1,69.0,60000,1,0,0
245,45,0,1,0,2,0,1,0,1,63.0,0,2,1,0
249,34,0,1,0,1,0,2,0,1,62.0,60000,1,0,1
262,40,0,1,0,1,0,2,0,2,62.0,0,0,2,0
264,41,0,0,0,4,0,1,0,1,67.0,0,0,0,2
266,53,0,1,0,1,4,1,0,1,69.0,0,0,0,0
267,39,0,0,0,4,1,1,0,2,69.0,80000,1,0,0
278,42,0,1,0,4,0,1,1,1,64.0,80000,0,2,0
281,45,0,1,0,1,4,2,0,1,60.0,0,2,0,0
283,47,0,0,0,1,0,1,0,1,69.0,50000,1,0,0
298,48,1,1,0,1,1,2,0,1,62.0,0,0,1,0
300,47,0,0,0,4,0,0,0,1,72.0,0,0,1,0
304,32,0,0,0,4,0,2,0,1,71.0,0,1,1,0
310,55,0,0,0,1,0,2,0,1,73.0,0,0,0,0
322,19,0,1,0,1,1,2,1,1,67.0,0,0,0,3
328,63,0,1,0,1,0,2,0,3,65.0,0,2,0,0
335,61,0,1,0,1,0,2,0,1,63.0,70000,0,0,2
337,34,0,1,0,4,0,2,0,1,65.0,150000,0,1,0
338,34,0,1,0,4,0,2,0,2,67.0,0,1,1,0
347,19,0,0,2,2,0,0,0,1,72.0,0,0,1,0
349,66,0,0,0,1,0,0,0,2,73.0,0,2,1,0
354,34,0,1,0,2,0,1,0,1,68.0,40000,1,0,0
356,26,0,0,0,4,1,2,0,1,75.0,0,0,1,0
361,30,0,1,0,0,0,3,1,6,69.0,0,0,0,0
362,26,0,0,0,1,0,2,0,2,73.0,0,0,0,0
367,35,0,0,0,0,0,2,0,1,71.0,0,2,0,0
372,35,0,0,0,1,1,2,0,3,71.0,50000,0,0,0
398,60,0,0,0,4,0,2,0,4,71.0,0,3,1,0
403,44,2,0,1,1,0,1,0,2,74.0,0,0,0,0
404,57,0,1,0,1,1,1,0,1,62.0,0,3,0,0
405,43,0,1,0,2,0,2,0,1,67.0,0,2,2,0
411,41,0,1,0,0,0,2,0,1,64.0,0,3,1,0
414,49,0,1,0,2,4,2,0,2,68.0,0,3,0,0
415,59,0,0,0,1,0,2,0,1,71.0,0,0,3,0
420,33,0,1,0,2,0,3,0,1,73.0,0,0,0,0
436,47,0,0,0,4,0,2,0,0,76.0,60000,2,0,0
450,52,0,1,0,0,0,3,0,2,65.0,0,2,0,0
459,32,0,0,0,4,0,2,0,1,72.0,0,1,0,0
460,22,0,1,0,1,0,2,0,1,64.0,0,1,1,0
463,44,0,0,0,1,0,2,0,1,72.0,100000,2,0,2
469,32,0,1,0,1,0,2,0,1,64.0,0,0,0,0
471,39,0,1,0,4,1,0,0,1,63.0,0,1,1,0
472,47,0,1,0,4,1,2,0,1,66.0,100000,2,0,0
490,23,0,0,0,3,0,4,2,1,72.0,20000,2,1,0
493,48,0,0,0,4,0,1,0,2,70.0,0,0,0,0
495,30,2,0,1,1,0,2,0,2,68.0,0,0,0,0
496,59,0,0,0,4,0,2,0,1,64.0,60000,2,5,0
502,30,1,0,0,4,0,2,0,2,75.0,100000,1,0,0
504,18,0,0,0,4,0,2,0,1,73.0,20000,1,0,0
507,27,0,1,0,0,1,2,0,1,64.0,0,0,0,0
512,43,0,0,0,1,0,3,2,6,69.0,0,0,0,1
515,58,0,0,0,1,0,3,0,1,72.0,0,2,0,0
518,41,0,0,0,1,0,2,0,4,75.0,0,0,0,2
519,27,0,1,0,1,0,2,0,2,67.0,0,0,0,1
542,49,1,0,0,4,0,2,1,6,70.0,0,3,0,0
552,44,1,0,2,4,0,2,1,1,76.0,0,2,0,0
564,41,1,1,2,4,0,3,0,1,66.0,0,0,0,0
568,23,0,0,0,4,0,2,0,1,67.0,30000,0,0,0
570,29,0,0,0,1,0,2,0,4,74.0,0,0,1,0
572,33,0,1,0,0,0,0,0,1,60.0,0,1,1,0
574,25,0,0,0,4,0,2,0,1,63.0,30000,1,1,2
575,61,0,0,0,4,0,2,0,1,68.0,0,2,1,0
590,44,2,1,0,0,1,2,1,1,63.0,0,2,0,1
592,30,0,1,0,4,0,1,1,1,66.0,40000,0,0,0
593,58,0,1,0,2,0,2,0,2,64.0,0,2,2,0
598,47,0,1,0,1,0,1,0,2,63.0,0,1,0,0
615,45,0,1,0,2,0,2,0,2,63.0,0,2,0,0
616,24,0,1,0,1,0,0,0,1,68.0,0,0,5,4
622,41,0,0,0,1,0,2,1,1,73.0,100000,2,1,0
634,31,1,0,0,0,0,2,0,1,74.0,20000,1,0,1
637,37,0,1,0,4,4,2,0,1,65.0,0,1,1,0
639,32,0,1,0,1,0,2,0,4,64.0,0,1,2,0
640,18,0,0,0,1,0,0,0,0,70.0,0,1,0,0
653,27,0,1,1,0,1,3,0,1,69.0,0,0,0,0
654,30,0,1,0,4,0,1,0,2,68.0,0,1,0,0
665,33,0,0,0,4,0,2,0,1,67.0,0,1,0,0
666,38,0,1,0,1,0,2,0,1,69.0,0,0,1,0
678,24,0,0,0,1,1,2,0,1,67.0,0,1,0,1
687,41,0,0,0,4,0,2,0,1,71.0,70000,1,0,3
699,43,3,1,0,2,0,2,1,1,64.0,0,3,0,0
711,36,0,0,0,2,0,0,0,1,67.0,20000,1,0,2
719,26,0,0,0,1,1,4,1,1,74.0,0,0,2,3
736,31,0,0,0,1,0,2,0,1,69.0,40000,2,0,2
738,22,0,0,0,4,1,2,2,1,68.0,60000,0,0,2
743,47,0,0,0,4,0,3,0,1,73.0,0,3,1,0
744,39,0,1,0,1,0,2,0,0,60.0,0,1,1,0
750,30,0,0,0,4,0,2,0,2,70.0,0,1,0,0
753,38,0,1,0,2,0,1,0,1,68.0,50000,2,0,0
755,24,0,0,0,4,0,2,0,2,72.0,0,0,0,3
764,23,0,0,0,1,0,3,1,1,68.0,0,0,0,0
765,26,0,0,0,2,0,2,0,0,74.0,0,1,1,0
778,25,0,0,0,4,1,2,0,1,68.0,50000,1,0,3
783,24,0,0,0,4,0,2,0,1,74.0,40000,0,1,0
798,21,0,0,0,4,3,1,0,1,66.0,40000,1,0,3
800,31,0,0,0,4,1,5,1,1,69.0,0,1,0,0
821,30,0,0,0,4,1,2,0,1,71.0,0,0,0,0
822,34,0,1,0,4,1,3,1,3,68.0,0,1,0,0
826,20,0,0,0,1,0,2,1,1,67.0,20000,1,0,2
866,26,1,0,0,4,0,1,1,3,69.0,0,1,0,0
869,24,0,0,0,1,1,4,1,1,68.0,30000,0,0,1
884,36,0,0,0,4,0,0,0,2,73.0,150000,1,0,0
888,44,0,0,0,1,0,1,0,1,74.0,0,2,2,0
892,33,0,0,0,5,0,3,1,6,70.0,0,0,1,4
900,21,0,1,0,2,0,2,0,1,66.0,20000,1,1,0
905,38,0,1,0,2,4,2,0,2,65.0,0,1,0,0
909,23,0,1,0,4,0,1,1,1,58.0,0,0,0,0
910,45,0,1,0,1,0,2,0,1,62.0,0,2,0,0
912,35,0,0,2,1,0,3,1,2,72.0,0,0,0,0
915,34,0,1,0,1,0,2,1,6,64.0,40000,0,0,0
919,22,0,1,1,1,1,0,0,1,64.0,0,0,0,0
934,34,0,0,2,2,0,2,0,2,68.0,100000,1,2,0
935,40,0,0,0,1,0,1,0,6,70.0,100000,1,0,0
937,23,1,0,0,1,1,1,1,1,71.0,1000000,0,0,0
943,38,3,1,2,1,0,2,1,1,67.0,0,2,0,3
950,28,0,0,0,0,0,2,1,1,69.0,0,1,0,0
951,30,1,0,0,1,0,2,0,1,71.0,0,0,2,0
952,26,0,1,0,0,0,2,1,1,68.0,0,0,1,1
981,27,2,1,2,2,4,1,1,6,66.0,0,1,0,0
992,22,0,1,0,1,0,1,0,0,61.0,20000,2,1,0
994,30,0,0,0,4,4,2,0,1,72.0,0,1,1,0
1006,39,1,0,2,1,0,3,1,1,66.0,100000,0,2,0
1008,35,0,1,0,4,0,2,1,5,67.0,0,1,0,0
1025,42,1,0,2,1,0,2,0,1,71.0,0,0,0,0
1028,31,0,1,0,4,1,2,0,2,66.0,70000,1,0,0
1045,35,0,1,0,1,0,2,0,3,66.0,0,1,0,0
1057,26,0,1,0,4,0,2,0,5,63.0,0,1,0,0
1058,29,0,1,1,2,0,3,1,1,68.0,0,1,0,0
1061,33,0,1,0,0,1,2,1,1,65.0,0,0,0,0
1079,26,0,0,0,1,0,2,0,1,66.0,0,1,1,0
1082,23,0,1,0,1,0,2,0,1,66.0,0,1,1,0
1084,31,0,1,0,4,0,3,1,2,64.0,0,1,0,0
1086,21,0,1,0,4,1,2,0,1,68.0,20000,0,0,0
1095,23,0,0,0,4,0,2,0,1,72.0,0,0,0,0
1096,22,0,0,1,4,0,2,0,1,69.0,0,1,1,0
1107,24,0,0,0,4,0,2,0,1,67.0,0,0,0,0
1111,24,0,0,0,3,0,0,0,1,68.0,20000,1,1,0
1119,28,0,0,1,1,0,2,0,1,71.0,0,0,0,0
1128,28,0,0,0,4,0,2,0,1,69.0,100000,0,1,0
1131,27,0,1,0,2,0,2,0,1,62.0,0,0,1,0
1145,44,0,0,0,1,0,0,0,2,71.0,0,0,0,0
1146,31,0,0,0,4,0,2,1,4,72.0,0,1,1,0
1151,37,0,0,0,4,0,3,1,6,68.0,0,0,0,0
1153,18,0,0,0,1,0,2,1,1,71.0,20000,1,0,1
1166,25,0,0,0,4,0,2,0,1,69.0,30000,0,0,0
1172,30,0,0,0,4,0,2,0,2,69.0,250000,1,1,0
1184,34,0,1,0,2,0,2,0,1,67.0,50000,1,0,0
1206,37,0,0,1,1,4,1,0,4,72.0,0,0,0,0
1210,42,0,0,0,1,0,2,0,1,73.0,0,1,0,0
1237,35,0,0,0,4,0,2,0,1,73.0,0,1,1,0
1246,18,0,0,0,4,0,0,0,0,69.0,0,0,0,0
1248,25,0,0,0,4,0,2,0,1,71.0,0,0,0,0
1249,28,0,0,0,2,0,2,0,1,70.0,0,0,1,0
1254,31,0,1,0,4,0,1,0,1,65.0,0,1,0,0
1271,30,0,1,2,4,0,2,0,5,64.0,0,1,0,0
1282,25,0,1,0,4,0,2,0,1,68.0,1000000,1,1,0
1284,41,0,1,0,1,0,3,0,1,63.0,0,2,0,0
1298,25,0,0,0,4,0,2,0,2,68.0,0,0,0,0
1302,25,0,1,0,5,4,2,0,1,64.0,0,1,0,0
1304,25,0,1,0,4,0,3,0,2,68.0,0,0,0,0
1307,39,0,0,0,4,0,2,0,1,69.0,0,1,0,0
1313,35,0,0,0,4,0,0,0,1,72.0,0,2,0,0
1315,28,0,0,0,1,0,2,0,6,69.0,0,1,0,0
1320,37,0,0,0,2,0,0,1,1,72.0,70000,1,0,0
1321,60,0,0,0,1,0,2,1,1,68.0,60000,2,1,4
1324,40,0,1,0,4,1,2,0,1,68.0,0,0,0,0
1325,29,0,1,0,0,0,2,0,1,64.0,0,0,0,0
1337,41,0,1,0,1,1,2,0,1,68.0,0,1,0,0
1339,30,0,1,0,4,0,2,0,6,62.0,50000,1,0,0
1352,38,0,1,0,3,0,1,0,3,70.0,0,0,1,0
1356,23,0,0,0,2,0,2,0,1,72.0,0,0,0,0
1358,29,1,0,1,4,0,1,0,1,72.0,60000,0,0,0
1363,35,0,1,2,2,0,2,0,1,63.0,0,0,0,0
1364,23,0,0,0,4,0,2,0,3,75.0,20000,0,0,0
1379,32,0,1,0,2,0,3,1,1,65.0,0,0,0,3
1387,22,0,1,0,2,1,2,0,1,63.0,30000,1,2,0
1402,45,0,0,0,1,0,1,0,2,66.0,0,0,2,0
1403,51,0,1,0,2,0,1,0,1,68.0,0,2,0,0
1405,28,0,0,0,1,0,2,0,0,73.0,100000,1,0,0
1411,35,0,1,0,4,0,2,0,2,65.0,0,1,0,0
1417,57,0,1,0,4,0,2,0,1,62.0,0,2,0,0
1418,40,0,1,1,0,0,2,0,1,65.0,0,0,0,0
1425,18,0,1,2,0,0,0,0,1,63.0,0,0,0,0
1432,20,0,1,0,2,0,2,0,1,73.0,0,1,0,0
1434,25,0,0,0,0,1,0,0,1,67.0,20000,0,0,0
1449,21,0,0,0,4,0,2,1,1,77.0,0,1,0,0
1455,27,0,0,0,4,1,2,0,1,71.0,70000,0,1,0
1458,23,0,0,0,1,0,2,0,1,68.0,0,0,0,0
1471,49,0,0,0,0,1,2,1,1,70.0,0,0,0,0
1475,43,0,0,0,1,0,2,0,2,73.0,0,1,0,0
1482,29,0,1,0,1,0,2,0,1,60.0,0,1,1,0
1498,32,0,1,0,4,1,3,0,1,65.0,0,1,0,0
1501,34,0,0,0,4,0,2,0,3,68.0,0,0,0,0
1521,35,0,0,0,1,0,2,0,4,68.0,0,0,0,0
1522,33,3,0,0,2,1,2,1,1,67.0,0,2,0,0
1524,27,0,1,0,2,0,2,0,2,65.0,0,2,2,0
1525,40,0,1,0,1,0,2,0,2,64.0,0,0,0,0
1529,29,0,0,0,1,0,2,0,1,73.0,0,0,0,0
1545,23,0,0,0,4,0,0,0,1,72.0,30000,0,0,0
1547,25,0,0,0,4,0,2,1,1,70.0,20000,0,0,0
1560,23,0,0,0,0,0,2,1,1,71.0,60000,0,0,1
1563,27,0,0,2,2,0,2,1,2,72.0,0,0,0,3
1567,24,0,0,0,4,0,3,0,1,70.0,0,1,1,0
1572,29,0,0,0,4,0,2,0,1,68.0,0,1,0,1
1586,40,0,0,0,2,0,1,0,1,70.0,0,0,0,0
1610,62,0,0,0,4,4,0,0,3,72.0,0,2,0,0
1616,25,0,1,1,0,0,5,1,6,72.0,0,0,2,2
1636,25,0,0,0,2,1,0,0,1,70.0,0,0,0,0
1639,35,0,0,0,1,0,2,0,1,72.0,150000,1,1,0
1642,43,0,0,0,4,1,1,0,1,71.0,40000,0,2,4
1643,27,0,0,0,2,0,2,0,1,75.0,80000,1,1,1
1655,37,0,0,0,3,0,2,0,1,67.0,60000,1,0,0
1673,27,0,1,0,1,0,2,0,1,65.0,0,0,1,0
1675,22,0,0,0,1,0,2,0,1,69.0,80000,0,1,0
1677,28,0,0,0,4,0,2,0,5,72.0,50000,0,0,0
1679,36,0,0,0,4,0,2,0,2,75.0,150000,0,1,0
1680,26,0,0,0,4,4,2,1,1,71.0,0,0,3,1
1681,28,2,1,0,1,1,1,0,1,63.0,0,0,0,0
1686,53,0,1,0,4,0,2,0,1,62.0,0,3,1,0
1694,24,0,0,0,4,0,2,0,1,66.0,0,0,1,0
1696,22,0,0,0,4,0,2,1,1,70.0,0,0,0,1
1697,32,0,0,0,4,0,2,0,1,74.0,70000,2,1,0
1701,22,0,1,0,4,0,3,0,1,68.0,0,1,0,0
1706,39,0,0,0,2,0,2,0,0,68.0,0,1,0,0
1708,19,0,1,0,1,0,2,0,1,64.0,20000,1,1,1
1715,36,0,1,0,1,0,3,0,2,62.0,0,0,1,1
1717,28,0,1,1,1,0,1,0,1,63.0,30000,0,0,3
1723,32,0,1,0,4,0,2,0,2,68.0,0,1,0,0
1735,31,2,0,0,4,0,2,0,1,73.0,0,0,1,0
1741,58,0,0,0,4,0,2,0,1,67.0,0,0,0,0
1746,31,0,0,0,4,0,2,0,1,70.0,0,1,1,1
1750,27,0,1,0,4,0,2,0,1,66.0,0,1,0,0
1751,33,0,0,1,1,0,2,0,1,68.0,0,1,1,0
1752,45,0,1,0,4,0,2,0,1,66.0,100000,0,0,0
1766,58,0,0,0,4,0,2,0,1,68.0,0,0,0,0
1773,38,0,1,0,4,0,2,0,1,70.0,0,1,1,0
1784,42,0,1,0,1,0,2,0,1,64.0,0,2,1,0
1787,20,0,1,1,0,0,2,0,1,59.0,0,1,0,0
1793,56,0,0,0,4,0,2,0,1,67.0,0,2,1,0
1797,26,0,0,0,0,0,0,0,1,70.0,20000,1,0,0
1814,38,1,0,0,4,0,2,1,1,69.0,150000,3,1,0
1824,30,0,1,0,0,0,1,0,1,69.0,0,0,2,0
1825,39,0,0,0,4,0,2,0,2,69.0,0,1,0,0
1841,34,0,0,0,4,0,2,0,4,67.0,0,1,1,0
1848,26,0,0,0,4,0,2,0,2,68.0,0,0,0,0
1851,20,0,1,2,1,1,2,1,1,67.0,0,0,0,0
1855,59,0,1,0,2,4,2,0,2,65.0,0,0,0,0
1860,23,0,0,0,4,0,2,1,1,69.0,0,0,1,0
1861,27,0,1,0,1,0,3,1,1,66.0,40000,0,0,0
1863,26,0,0,1,1,0,1,0,1,72.0,0,1,0,0
1884,20,0,1,0,1,0,2,0,1,66.0,0,0,0,0
1891,32,0,0,0,1,0,2,0,1,74.0,0,1,0,0
1893,22,0,0,1,0,1,2,0,1,74.0,0,1,0,0
1902,33,0,0,0,0,0,3,1,1,71.0,0,0,0,0
1914,36,0,1,0,3,0,0,0,1,64.0,0,1,0,0
1926,50,0,0,0,4,1,0,0,1,73.0,150000,2,2,0
1934,25,0,1,0,4,0,2,0,4,65.0,0,0,1,0
1936,22,0,1,0,1,0,1,0,1,64.0,20000,1,1,0
1937,25,0,0,2,1,0,0,1,1,70.0,20000,0,0,0
1938,27,0,0,0,4,0,2,0,1,69.0,50000,1,0,2
1943,39,0,1,1,5,0,0,0,1,62.0,0,3,0,0
1946,23,0,1,0,4,0,2,0,1,65.0,0,1,1,0
1950,61,0,0,1,1,0,0,0,1,66.0,50000,1,0,0
1956,24,0,1,0,2,0,2,1,1,70.0,20000,0,0,2
1957,20,0,1,0,0,0,0,0,1,64.0,0,1,0,0
1961,48,0,0,0,1,0,2,0,1,77.0,60000,2,0,4
1964,23,0,1,0,0,0,2,0,2,62.0,0,1,0,0
1974,37,0,1,0,4,0,1,0,5,62.0,0,1,0,0
1976,25,0,0,0,5,0,2,0,1,67.0,0,1,0,0
1980,32,0,1,0,1,0,1,0,1,61.0,80000,0,2,0
1986,30,0,1,0,1,0,2,0,1,64.0,0,0,0,1
1990,19,0,0,0,4,0,2,0,1,71.0,0,0,1,0
1997,30,1,1,1,4,0,2,0,4,61.0,0,2,0,0
2009,52,0,1,0,1,0,1,0,1,62.0,40000,0,0,0
2013,48,0,0,1,2,0,2,0,1,72.0,150000,0,0,0
2014,28,0,0,0,0,0,2,0,1,73.0,0,0,1,0
2016,24,0,0,1,4,1,0,0,1,68.0,0,1,0,0
2038,45,0,1,0,4,1,2,0,1,69.0,0,2,2,0
2042,31,0,1,0,0,0,2,0,3,64.0,0,1,0,0
2044,30,0,1,0,4,1,2,0,5,63.0,0,1,0,0
2045,39,0,1,0,2,2,0,0,3,66.0,0,2,0,2
2050,18,0,1,0,0,1,2,1,1,61.0,20000,0,0,3
2063,33,0,0,0,4,0,2,0,1,69.0,80000,1,1,0
2065,24,0,0,0,2,0,2,1,1,70.0,0,1,0,2
2070,42,0,0,1,2,0,0,0,1,68.0,0,1,0,0
2077,40,0,0,0,4,0,2,0,6,69.0,0,0,0,0
2079,51,0,0,0,4,0,0,0,1,70.0,100000,2,1,0
2084,27,0,0,0,1,0,2,0,1,68.0,0,0,1,0
2086,30,0,1,0,0,0,2,0,5,63.0,0,1,1,0
2087,26,0,0,0,2,0,2,1,1,70.0,0,1,0,1
2090,24,2,1,2,2,0,2,1,1,64.0,20000,0,0,3
2091,24,0,0,0,4,0,2,0,5,70.0,0,1,1,0
2092,29,0,1,0,2,0,2,1,1,61.0,0,1,0,1
2096,42,0,0,0,3,0,2,0,1,68.0,40000,2,0,0
2098,35,0,0,0,2,0,3,0,2,72.0,0,1,0,0
2102,34,0,1,0,1,0,2,0,1,70.0,0,1,1,0
2107,26,0,1,0,1,0,2,0,2,62.0,0,0,1,0
2113,32,0,1,0,4,0,2,0,1,64.0,0,1,1,0
2124,31,0,0,0,1,0,3,1,1,71.0,0,0,2,3
2127,30,0,0,0,1,0,2,0,1,70.0,30000,1,0,0
2130,37,0,0,0,1,0,1,0,0,71.0,0,0,1,0
2131,57,0,0,0,1,1,1,0,0,73.0,0,0,2,0
2139,26,0,0,1,1,0,3,1,1,67.0,0,0,0,3
2140,30,0,1,0,0,1,0,0,1,63.0,0,0,0,0
2145,42,0,0,0,1,1,2,0,1,70.0,60000,1,0,4
2149,40,2,1,0,2,0,2,0,1,66.0,0,2,0,0
2171,51,0,1,0,2,4,0,0,2,62.0,0,0,1,0
2196,28,1,0,1,1,0,2,1,1,69.0,0,0,0,1
2203,38,0,0,0,2,0,2,0,6,73.0,0,3,0,0
2213,46,0,0,0,1,0,2,1,1,72.0,80000,1,2,3
2218,34,0,1,0,2,0,2,0,0,68.0,0,1,0,0
2232,55,0,1,0,4,0,2,0,2,61.0,0,3,0,0
2233,41,0,0,0,4,0,2,0,2,72.0,0,1,1,0
2234,22,0,1,2,0,0,2,1,1,64.0,20000,0,1,2
2239,32,0,0,0,4,0,1,0,3,72.0,0,0,2,0
2247,29,0,0,0,4,0,2,0,3,72.0,0,0,2,0
2253,20,0,0,0,0,0,2,1,1,70.0,20000,0,0,0
2256,36,0,1,1,2,3,1,0,3,63.0,0,2,2,0
2261,53,2,0,0,4,0,2,1,2,72.0,150000,0,0,0
2271,25,1,1,2,2,0,2,0,2,68.0,0,1,2,0
2280,23,0,1,0,0,0,2,1,1,61.0,0,0,0,3
2289,18,0,1,0,1,0,1,0,1,64.0,0,1,0,0
2295,26,0,1,0,4,0,2,0,1,65.0,30000,1,1,0
2296,36,0,0,1,2,0,2,0,1,74.0,0,0,1,2
2308,19,0,1,0,2,0,0,0,1,59.0,20000,2,1,0
2318,35,0,1,1,2,0,2,1,1,66.0,0,0,0,0
2323,39,3,0,2,4,0,2,1,1,72.0,0,2,0,4
2338,24,0,0,0,1,0,2,0,0,73.0,0,1,0,0
2341,25,0,0,0,1,0,2,0,0,65.0,150000,0,0,1
2342,43,0,0,0,4,4,2,0,1,68.0,0,2,0,0
2343,22,0,1,1,0,1,2,1,1,63.0,20000,0,0,3
2371,19,0,0,0,4,0,0,0,0,67.0,0,1,1,0
2377,24,0,1,0,0,1,2,0,1,62.0,0,1,2,0
2386,30,0,0,0,4,0,2,0,1,67.0,40000,1,0,0
2395,33,0,0,0,2,0,2,0,1,70.0,30000,1,2,0
2397,19,0,0,1,4,0,0,0,0,73.0,0,1,1,0
2404,26,0,0,0,4,0,2,1,1,72.0,0,1,1,0
2405,26,0,0,0,4,0,3,1,1,67.0,1000000,0,1,2
2407,27,0,0,0,4,0,2,0,3,66.0,0,0,0,0
2410,34,0,1,0,2,0,0,0,1,66.0,0,1,0,0
2413,34,0,0,0,4,0,2,0,2,67.0,0,1,0,0
2415,34,0,0,0,4,0,2,0,1,75.0,50000,1,0,0
2422,30,0,0,0,2,0,2,0,1,72.0,40000,2,0,0
2434,31,0,0,0,4,0,2,1,1,74.0,0,0,1,3
2435,41,0,0,0,4,0,2,0,1,68.0,0,1,1,0
2439,37,2,0,0,1,0,2,0,1,70.0,0,0,0,0
2448,26,0,0,0,1,0,3,1,1,74.0,0,0,0,4
2457,35,0,0,0,4,0,2,0,2,76.0,150000,1,0,0
2459,39,0,0,0,2,0,2,1,1,71.0,20000,2,0,0
2465,23,0,0,0,5,1,1,0,1,61.0,0,1,0,0
2469,22,0,0,0,1,0,2,0,1,67.0,0,0,0,4
2478,22,0,0,0,4,2,1,0,1,70.0,0,0,0,0
2483,25,0,1,0,2,0,2,0,1,65.0,0,0,0,0
2486,40,0,1,0,1,0,2,0,2,68.0,0,0,1,0
2503,31,0,1,0,2,0,5,0,1,66.0,0,0,0,2
2505,29,0,1,2,4,0,1,1,1,72.0,0,2,1,3
2511,19,0,1,0,2,1,2,0,1,68.0,0,0,0,0
2516,23,0,1,1,4,0,3,0,1,64.0,0,0,0,0
2537,39,0,1,0,2,0,0,0,1,63.0,20000,2,0,0
2540,69,0,0,0,2,0,1,0,0,69.0,0,3,0,0
2547,19,0,1,2,2,0,2,1,1,68.0,0,0,0,4
2553,21,0,1,0,1,0,1,0,1,60.0,0,1,1,3
2556,29,0,1,0,4,0,0,0,1,73.0,0,0,0,0
2562,32,0,1,0,2,0,2,0,1,68.0,0,1,1,0
2566,44,0,1,0,4,0,2,0,2,67.0,0,2,1,0
2579,48,0,0,0,4,0,2,0,0,74.0,250000,2,0,0
2587,31,0,1,0,0,0,2,0,5,67.0,0,0,0,0
2590,26,0,1,0,1,0,2,0,1,62.0,0,0,0,2
2594,46,0,0,0,4,0,3,0,1,71.0,250000,0,1,0
2625,57,0,0,0,1,0,0,0,1,71.0,60000,2,0,0
2626,46,0,0,0,1,0,1,0,2,66.0,0,0,0,0
2629,24,0,0,0,4,0,2,0,1,68.0,0,0,1,0
2632,34,0,1,0,4,0,2,0,1,67.0,0,0,2,0
2642,24,0,1,0,1,0,2,0,6,62.0,0,0,2,3
2643,31,0,1,0,4,0,2,0,1,67.0,0,0,0,0
2661,38,1,0,0,4,0,0,0,3,74.0,40000,2,0,0
2662,43,0,0,0,1,0,2,0,2,72.0,100000,0,0,0
2668,20,0,1,0,2,0,2,0,1,64.0,0,0,1,0
2678,42,0,0,0,2,0,1,0,1,64.0,0,0,0,0
2682,23,0,0,0,0,0,2,1,1,72.0,0,0,0,1
2687,29,0,1,2,4,0,3,0,2,64.0,0,1,0,3
2688,28,0,1,0,1,0,1,0,1,61.0,0,1,1,0
2692,27,0,1,0,2,0,2,1,1,60.0,20000,1,0,0
2693,40,0,1,0,2,0,2,0,1,64.0,0,1,0,0
2702,40,0,1,0,1,0,1,0,1,67.0,40000,0,0,0
