age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,pets,religion,sign,smokes,speaks,id
27,single,f,straight,curvy,anything,often,never,graduated from college/university,white,68.0,-1,sales / marketing / biz dev,2012-06-29-21-59,"san francisco, california","doesn't have kids, and doesn't want any",likes dogs and has cats,agnosticism and laughing about it,leo and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",182
37,single,m,straight,fit,mostly anything,not at all,never,graduated from college/university,white,79.0,50000,entertainment / media,2012-06-29-21-31,"san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,agnosticism and somewhat serious about it,virgo but it doesn&rsquo;t matter,no,english (fluently),189
32,single,f,straight,a little extra,mostly anything,socially,never,graduated from masters program,white,63.0,-1,education / academia,2012-06-25-22-50,"san francisco, california","doesn't have kids, but wants them",likes dogs and dislikes cats,catholicism and somewhat serious about it,capricorn and it&rsquo;s fun to think about,sometimes,english (fluently),195
28,single,m,straight,athletic,mostly anything,socially,sometimes,graduated from masters program,hispanic / latin,67.0,-1,banking / financial / real estate,2012-06-25-22-11,"san francisco, california",doesn't have kids,likes dogs and likes cats,other,aquarius,trying to quit,"english, italian, french, spanish, russian",196
28,single,m,straight,fit,mostly anything,socially,never,graduated from college/university,asian,67.0,-1,computer / hardware / software,2012-06-29-11-09,"san francisco, california","doesn't have kids, but might want them",likes dogs,other but not too serious about it,gemini but it doesn&rsquo;t matter,no,"english (fluently), vietnamese (fluently), c++ (fluently)",201
31,single,f,straight,fit,strictly anything,socially,never,working on ph.d program,white,63.0,-1,student,2012-06-29-13-11,"oakland, california","doesn't have kids, but wants them",likes dogs and has cats,agnosticism and very serious about it,gemini but it doesn&rsquo;t matter,when drinking,"english (fluently), french (okay)",203
33,single,m,straight,average,mostly anything,rarely,never,graduated from college/university,white,72.0,-1,science / tech / engineering,2012-06-29-16-23,"san francisco, california",doesn't have kids,likes dogs and likes cats,atheism,leo,no,"english (fluently), c++ (fluently), russian (poorly)",211
43,single,f,straight,thin,strictly anything,socially,never,graduated from masters program,indian,65.0,-1,banking / financial / real estate,2012-06-29-20-02,"san francisco, california",has kids,likes dogs and has cats,hinduism but not too serious about it,virgo and it&rsquo;s fun to think about,no,english (fluently),217
42,single,f,straight,athletic,anything,socially,never,working on space camp,white,63.0,-1,medicine / health,2012-06-29-17-04,"lafayette, california",has kids,has dogs and has cats,christianity and somewhat serious about it,aries but it doesn&rsquo;t matter,no,english (fluently),223
50,single,f,straight,thin,mostly anything,socially,never,two-year college,hispanic / latin,66.0,-1,sales / marketing / biz dev,2012-06-29-20-35,"fremont, california",has kids,likes dogs,christianity,leo,no,"english (fluently), spanish (fluently)",231
53,single,f,bisexual,fit,anything,socially,sometimes,graduated from masters program,white,62.0,100000,education / academia,2012-06-29-14-45,"orinda, california",has kids,has dogs,buddhism but not too serious about it,pisces and it matters a lot,when drinking,english,236
35,single,m,straight,average,mostly other,rarely,never,graduated from college/university,asian,67.0,30000,entertainment / media,2012-06-28-17-17,"san francisco, california","doesn't have kids, but might want them",likes dogs,christianity but not too serious about it,scorpio and it&rsquo;s fun to think about,no,english,240
30,single,m,straight,average,mostly anything,socially,never,graduated from two-year college,asian,69.0,60000,medicine / health,2012-06-29-22-49,"san mateo, california","doesn't have kids, but might want them",likes dogs and likes cats,christianity and somewhat serious about it,aries and it matters a lot,no,english,242
45,single,f,straight,full figured,anything,rarely,never,graduated from college/university,black,63.0,-1,computer / hardware / software,2012-05-04-08-41,"oakland, california",has kids,likes dogs and dislikes cats,christianity and very serious about it,scorpio but it doesn&rsquo;t matter,no,english,245
34,single,f,straight,average,mostly anything,socially,never,graduated from college/university,asian,62.0,60000,other,2012-06-29-18-22,"el cerrito, california","doesn't have kids, but wants them",likes dogs and has cats,agnosticism but not too serious about it,gemini and it&rsquo;s fun to think about,when drinking,english (fluently),249
40,single,f,straight,average,anything,socially,never,graduated from masters program,hispanic / latin,62.0,-1,education / academia,2012-06-29-21-37,"san mateo, california",doesn't have kids,has cats,catholicism but not too serious about it,aquarius but it doesn&rsquo;t matter,no,"english, spanish",262
41,single,m,straight,athletic,mostly anything,rarely,never,graduated from college/university,"asian, pacific islander",67.0,-1,other,2012-04-08-15-39,"burlingame, california",doesn't have kids,has dogs and likes cats,atheism and laughing about it,pisces but it doesn&rsquo;t matter,trying to quit,english (fluently),264
53,single,f,straight,average,other,rarely,never,two-year college,white,69.0,-1,clerical / administrative,2012-06-29-20-20,"san mateo, california",doesn't have kids,likes dogs and has cats,christianity and very serious about it,libra and it&rsquo;s fun to think about,no,english,266
39,single,m,straight,fit,mostly vegetarian,rarely,never,graduated from masters program,white,69.0,80000,science / tech / engineering,2012-06-29-08-54,"berkeley, california","doesn't have kids, but might want them",likes dogs and likes cats,other and somewhat serious about it,cancer but it doesn&rsquo;t matter,no,"english (okay), c++ (poorly)",267
42,single,f,straight,fit,strictly anything,rarely,sometimes,graduated from college/university,white,64.0,80000,other,2012-06-28-22-03,"san rafael, california",doesn't want kids,has cats,buddhism but not too serious about it,aquarius and it&rsquo;s fun to think about,no,"english, english",278
45,single,f,straight,average,mostly other,socially,never,graduated from college/university,white,60.0,-1,sales / marketing / biz dev,2012-06-27-21-28,"menlo park, california","has kids, and might want more",likes dogs and likes cats,other,libra and it&rsquo;s fun to think about,no,english (fluently),281
47,single,m,straight,average,mostly anything,rarely,never,graduated from two-year college,white,69.0,50000,construction / craftsmanship,2012-06-28-16-38,"san francisco, california","doesn't have kids, but might want them",has dogs and likes cats,christianity but not too serious about it,aries but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)",283
48,available,f,straight,average,mostly vegetarian,socially,never,graduated from college/university,hispanic / latin,62.0,-1,other,2012-06-29-16-49,"san francisco, california",doesn't want kids,has dogs,agnosticism,taurus and it&rsquo;s fun to think about,no,"english (fluently), portuguese (fluently), spanish (okay), french (okay)",298
47,single,m,straight,fit,mostly anything,not at all,never,dropped out of college/university,white,72.0,-1,construction / craftsmanship,2012-06-29-15-41,"oakland, california",doesn't want kids,has dogs,agnosticism but not too serious about it,pisces and it&rsquo;s fun to think about,no,english (fluently),300
32,single,m,straight,athletic,mostly anything,socially,never,graduated from college/university,hispanic / latin,71.0,-1,sales / marketing / biz dev,2012-03-25-00-09,"san francisco, california","doesn't have kids, but might want them",likes dogs,catholicism but not too serious about it,leo but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently), italian (poorly)",304
55,single,m,straight,average,mostly anything,socially,never,graduated from college/university,white,73.0,-1,computer / hardware / software,2012-06-29-22-19,"redwood city, california",doesn't have kids,has dogs and likes cats,christianity but not too serious about it,scorpio and it&rsquo;s fun to think about,no,english,310
19,single,f,straight,average,mostly vegetarian,socially,sometimes,working on college/university,white,67.0,-1,student,2012-05-27-11-37,"san francisco, california",doesn't have kids,has dogs and has cats,atheism and very serious about it,gemini and it&rsquo;s fun to think about,sometimes,"english (fluently), spanish (poorly)",322
63,single,f,straight,average,mostly anything,socially,never,dropped out of ph.d program,white,65.0,-1,banking / financial / real estate,2012-06-05-07-53,"mill valley, california",has a kid,likes dogs and has cats,judaism but not too serious about it,leo but it doesn&rsquo;t matter,no,"english (fluently), german (poorly), french (poorly)",328
61,single,f,straight,average,mostly anything,socially,never,dropped out of college/university,white,63.0,70000,retired,2012-06-25-22-31,"walnut creek, california","doesn't have kids, and doesn't want any",has dogs and has cats,atheism but not too serious about it,capricorn and it&rsquo;s fun to think about,trying to quit,"english, english",335
34,single,f,straight,athletic,anything,socially,never,graduated from college/university,white,65.0,150000,sales / marketing / biz dev,2012-06-28-19-14,"san francisco, california",doesn't have kids,has dogs,catholicism but not too serious about it,leo and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",337
34,single,f,straight,athletic,anything,socially,never,graduated from masters program,white,67.0,-1,executive / management,2012-06-28-07-19,"san francisco, california","doesn't have kids, but wants them",likes dogs,agnosticism and somewhat serious about it,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",338
19,single,m,bisexual,a little extra,anything,not at all,never,working on two-year college,white,72.0,-1,student,2011-08-27-20-02,"belmont, california",doesn't want kids,has dogs,atheism and laughing about it,aquarius but it doesn&rsquo;t matter,no,english,347
66,single,m,straight,average,anything,not at all,never,graduated from masters program,white,73.0,-1,medicine / health,2012-06-29-22-45,"pacifica, california",has kids,likes dogs,buddhism and laughing about it,taurus but it doesn&rsquo;t matter,no,"english (fluently), sign language (fluently), french (okay), spanish (okay)",349
34,single,f,straight,curvy,mostly anything,rarely,never,graduated from college/university,white,68.0,40000,artistic / musical / writer,2012-06-28-21-42,"hayward, california","doesn't have kids, but wants them",likes dogs and has cats,atheism,cancer but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently), french (poorly)",354
26,single,m,straight,fit,mostly vegetarian,socially,never,graduated from college/university,white,75.0,-1,science / tech / engineering,2012-06-30-00-16,"san francisco, california",doesn't want kids,likes dogs,buddhism and laughing about it,aries but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly), japanese (poorly)",356
30,single,f,straight,skinny,strictly anything,often,sometimes,graduated from space camp,white,69.0,-1,other,2012-06-30-00-17,"san rafael, california",doesn't want kids,has dogs and has cats,other and laughing about it,libra and it&rsquo;s fun to think about,no,english (poorly),361
26,single,m,straight,average,strictly anything,socially,never,graduated from masters program,white,73.0,-1,computer / hardware / software,2012-06-29-22-21,"san francisco, california","doesn't have kids, and doesn't want any",likes dogs and likes cats,atheism,taurus but it doesn&rsquo;t matter,no,"english (fluently), norwegian (fluently), swedish (okay), french (poorly)",362
35,single,m,straight,skinny,anything,socially,never,graduated from two-year college,white,71.0,-1,science / tech / engineering,2012-06-29-21-36,"menlo park, california",has a kid,likes dogs and likes cats,atheism,leo,no,"english (fluently), sign language (poorly), spanish (poorly)",367
35,single,m,straight,average,vegan,socially,never,graduated from ph.d program,asian,71.0,50000,other,2012-06-29-14-17,"oakland, california",doesn't have kids,likes dogs and has cats,atheism and laughing about it,gemini but it doesn&rsquo;t matter,no,"english (fluently), latin (poorly), chinese (okay), c++ (poorly)",372
60,single,m,straight,fit,mostly anything,socially,never,graduated from law school,white,71.0,-1,banking / financial / real estate,2012-06-26-06-13,"san francisco, california","has kids, but doesn't want more",likes dogs and dislikes cats,agnosticism,libra but it doesn&rsquo;t matter,no,"english (fluently), french (fluently), spanish (okay)",398
44,seeing someone,m,gay,normal,anything,rarely,never,graduated from masters program,hispanic / latin,74.0,-1,education / academia,2011-09-22-03-54,"menlo park, california",doesn't want kids,likes dogs and has cats,catholicism but not too serious about it,gemini but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently)",403
57,single,f,straight,average,mostly vegetarian,rarely,never,graduated from college/university,white,62.0,-1,other,2012-06-29-22-31,"walnut creek, california","has kids, but doesn't want more",likes dogs and likes cats,other and somewhat serious about it,libra and it&rsquo;s fun to think about,no,english,404
43,single,f,straight,curvy,mostly anything,socially,never,graduated from college/university,white,67.0,-1,banking / financial / real estate,2012-06-29-22-26,"berkeley, california","has a kid, and might want more",has cats,buddhism but not too serious about it,cancer,no,english,405
41,single,f,straight,thin,mostly anything,socially,never,graduated from college/university,"native american, white",64.0,-1,clerical / administrative,2012-04-04-15-13,"vallejo, california","has kids, but doesn't want more",likes dogs and dislikes cats,catholicism but not too serious about it,taurus but it doesn&rsquo;t matter,no,english (fluently),411
49,single,f,straight,curvy,mostly other,socially,never,graduated from masters program,white,68.0,-1,other,2012-06-28-14-39,"san rafael, california","has a kid, but doesn't want more",likes dogs and has cats,other but not too serious about it,virgo but it doesn&rsquo;t matter,no,english,414
59,single,m,straight,average,anything,socially,never,graduated from college/university,other,71.0,-1,science / tech / engineering,2012-06-28-20-36,"hayward, california",doesn't have kids,dislikes cats,christianity,capricorn,no,english,415
33,single,f,straight,full figured,mostly anything,often,never,graduated from college/university,white,73.0,-1,other,2012-06-28-06-26,"san francisco, california",doesn't want kids,likes dogs and likes cats,agnosticism but not too serious about it,libra and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay), italian (poorly)",420
47,single,m,straight,fit,anything,socially,never,high school,white,76.0,60000,construction / craftsmanship,2012-06-20-10-14,"san mateo, california",has kids,likes dogs and has cats,catholicism and laughing about it,virgo but it doesn&rsquo;t matter,no,english,436
52,single,f,straight,thin,strictly anything,often,never,graduated from masters program,white,65.0,-1,education / academia,2012-06-30-00-22,"san francisco, california",has kids,likes dogs and has cats,agnosticism but not too serious about it,aquarius but it doesn&rsquo;t matter,no,english,450
32,single,m,straight,athletic,anything,socially,never,graduated from college/university,white,72.0,-1,other,2012-06-30-00-22,"san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,buddhism and somewhat serious about it,aries,no,"english, spanish (poorly)",459
22,single,f,straight,average,mostly anything,socially,never,working on college/university,"asian, pacific islander",64.0,-1,sales / marketing / biz dev,2012-06-29-17-41,"san francisco, california","doesn't have kids, but wants them",likes dogs,catholicism and somewhat serious about it,pisces and it&rsquo;s fun to think about,no,"english (fluently), tagalog (fluently), spanish (okay)",460
44,single,m,straight,average,strictly anything,socially,never,graduated from college/university,white,72.0,100000,construction / craftsmanship,2012-06-28-19-21,"san francisco, california",has kids,likes dogs and likes cats,agnosticism but not too serious about it,capricorn but it doesn&rsquo;t matter,trying to quit,"english (fluently), german (okay)",463
32,single,f,straight,average,mostly anything,socially,never,graduated from college/university,white,64.0,-1,entertainment / media,2012-06-29-20-21,"san francisco, california",doesn't have kids,likes dogs and likes cats,christianity but not too serious about it,taurus and it&rsquo;s fun to think about,no,english,469
39,single,f,straight,fit,strictly vegan,not at all,never,graduated from college/university,"white, other",63.0,-1,other,2012-06-24-18-31,"oakland, california","doesn't have kids, but might want them",likes dogs,other and laughing about it,virgo and it&rsquo;s fun to think about,no,"english (fluently), japanese (poorly), other (poorly)",471
47,single,f,straight,fit,mostly vegetarian,socially,never,graduated from college/university,white,66.0,100000,artistic / musical / writer,2012-06-29-10-12,"mill valley, california",has a kid,likes dogs and likes cats,other and laughing about it,virgo and it&rsquo;s fun to think about,no,"english (fluently), french (fluently), japanese (poorly)",472
23,single,m,straight,overweight,strictly anything,very often,often,graduated from college/university,white,72.0,20000,student,2012-06-24-23-08,"san francisco, california","has a kid, and wants more",likes dogs and dislikes cats,other and somewhat serious about it,leo but it doesn&rsquo;t matter,no,english,490
48,single,m,straight,fit,mostly anything,rarely,never,graduated from masters program,white,70.0,-1,banking / financial / real estate,2012-06-25-09-56,"san francisco, california",doesn't have kids,likes dogs and likes cats,judaism but not too serious about it,scorpio and it&rsquo;s fun to think about,no,english,493
30,seeing someone,m,gay,normal,anything,socially,never,graduated from masters program,"hispanic / latin, other",68.0,-1,science / tech / engineering,2012-06-29-17-36,"san francisco, california",doesn't want kids,likes dogs and has cats,agnosticism and laughing about it,libra and it&rsquo;s fun to think about,no,"english (fluently), spanish (fluently), french (okay)",495
59,single,m,straight,fit,mostly anything,socially,never,graduated from college/university,asian,64.0,60000,education / academia,2012-06-29-21-36,"san rafael, california","has a kid, and might want more",dislikes dogs and dislikes cats,other but not too serious about it,scorpio but it doesn&rsquo;t matter,no,"english, chinese, tagalog",496
30,available,m,straight,athletic,strictly anything,socially,never,working on masters program,white,75.0,100000,military,2012-06-29-22-22,"san francisco, california","doesn't have kids, but wants them",likes dogs and likes cats,agnosticism,leo and it&rsquo;s fun to think about,no,"english (fluently), portuguese (poorly)",502
18,single,m,straight,athletic,strictly anything,socially,never,working on college/university,white,73.0,20000,student,2012-06-30-00-24,"sausalito, california","doesn't have kids, but might want them",likes dogs and likes cats,other but not too serious about it,aries and it&rsquo;s fun to think about,no,english (fluently),504
27,single,f,straight,thin,mostly vegetarian,socially,never,graduated from college/university,white,64.0,-1,entertainment / media,2012-02-05-08-51,"palo alto, california",doesn't want kids,likes dogs and likes cats,atheism but not too serious about it,capricorn and it&rsquo;s fun to think about,no,"english, german (fluently), spanish (poorly), french (poorly)",507
43,single,m,straight,average,mostly anything,often,often,working on space camp,white,69.0,-1,computer / hardware / software,2012-06-30-00-25,"san francisco, california",doesn't have kids,likes dogs and has cats,atheism but not too serious about it,leo and it&rsquo;s fun to think about,when drinking,"english (poorly), english (okay), english (fluently), english, c++ (fluently)",512
58,single,m,straight,normal,anything,often,never,graduated from college/university,white,72.0,-1,artistic / musical / writer,2012-06-27-16-37,"novato, california",has a kid,likes dogs and likes cats,buddhism and laughing about it,virgo and it&rsquo;s fun to think about,no,english (fluently),515
41,single,m,straight,average,mostly anything,socially,never,graduated from law school,white,75.0,-1,military,2012-03-05-00-09,"san francisco, california",doesn't want kids,likes dogs and likes cats,buddhism but not too serious about it,cancer and it matters a lot,trying to quit,"english (fluently), chinese (poorly), tagalog (poorly)",518
27,single,f,straight,average,anything,socially,never,working on masters program,white,67.0,-1,student,2012-06-27-19-09,"san francisco, california",doesn't want kids,likes dogs and has cats,other and laughing about it,scorpio and it&rsquo;s fun to think about,when drinking,"english (fluently), russian (poorly), spanish (poorly)",519
49,available,m,straight,athletic,strictly anything,socially,sometimes,dropped out of space camp,"white, other",70.0,-1,artistic / musical / writer,2012-06-29-10-16,"san francisco, california","has kids, but doesn't want more",likes dogs and likes cats,agnosticism and very serious about it,aquarius and it&rsquo;s fun to think about,no,"english, esperanto (poorly)",542
44,available,m,bisexual,athletic,mostly anything,socially,sometimes,working on college/university,"native american, white, other",76.0,-1,other,2012-06-29-09-25,"san leandro, california",has kids,likes dogs and has cats,other and very serious about it,aquarius and it matters a lot,no,english (fluently),552
41,available,f,bisexual,fit,strictly anything,often,never,graduated from two-year college,white,66.0,-1,other,2012-06-23-21-19,"san francisco, california",doesn't want kids,likes dogs and likes cats,atheism and somewhat serious about it,cancer and it&rsquo;s fun to think about,no,"english (fluently), italian (poorly), french (poorly)",564
23,single,m,straight,fit,mostly anything,socially,never,graduated from college/university,white,67.0,30000,artistic / musical / writer,2012-06-28-08-08,"san francisco, california","doesn't have kids, and doesn't want any",likes dogs and likes cats,other,libra and it&rsquo;s fun to think about,no,"english (fluently), chinese (okay)",568
29,single,m,straight,average,anything,socially,never,graduated from law school,white,74.0,-1,other,2012-06-30-00-28,"san mateo, california",doesn't have kids,has dogs,catholicism,libra,no,english,570
33,single,f,straight,thin,anything,not at all,never,graduated from college/university,white,60.0,-1,hospitality / travel,2012-06-26-09-06,"emeryville, california","doesn't have kids, but wants them",likes dogs,christianity but not too serious about it,virgo and it&rsquo;s fun to think about,no,english (fluently),572
25,single,m,straight,athletic,mostly anything,socially,never,graduated from two-year college,hispanic / latin,63.0,30000,sales / marketing / biz dev,2012-04-24-23-08,"redwood city, california","doesn't have kids, but might want them",likes dogs,catholicism but not too serious about it,pisces but it doesn&rsquo;t matter,trying to quit,english,574
61,single,m,straight,fit,mostly anything,socially,never,graduated from college/university,white,68.0,-1,medicine / health,2012-06-28-16-37,"moraga, california",has kids,likes dogs and dislikes cats,catholicism but not too serious about it,gemini but it doesn&rsquo;t matter,no,english (fluently),575
44,seeing someone,f,straight,thin,mostly vegetarian,socially,sometimes,graduated from college/university,white,63.0,-1,artistic / musical / writer,2012-02-25-12-06,"san francisco, california",has kids,likes dogs and has cats,other and laughing about it,aries and it&rsquo;s fun to think about,when drinking,english (fluently),590
30,single,f,straight,fit,mostly anything,rarely,sometimes,college/university,white,66.0,40000,sales / marketing / biz dev,2012-06-29-16-37,"san francisco, california","doesn't have kids, and doesn't want any",likes dogs and likes cats,atheism,pisces but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",592
58,single,f,straight,curvy,anything,socially,never,graduated from masters program,white,64.0,-1,executive / management,2012-03-12-23-34,"albany, california",has a kid,has cats,judaism and laughing about it,aquarius but it doesn&rsquo;t matter,no,"english, english (fluently), hebrew (poorly), spanish (poorly), french (poorly)",593
47,single,f,straight,average,mostly anything,rarely,never,graduated from masters program,"hispanic / latin, white",63.0,-1,executive / management,2012-06-27-22-35,"martinez, california","doesn't have kids, but wants them",likes dogs and likes cats,catholicism but not too serious about it,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), spanish (fluently)",598
45,single,f,straight,curvy,mostly anything,socially,never,graduated from masters program,white,63.0,-1,medicine / health,2011-10-11-13-56,"san francisco, california",has kids,has dogs and likes cats,christianity and somewhat serious about it,aquarius and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)",615
24,single,f,straight,average,strictly anything,not at all,never,graduated from college/university,white,68.0,-1,executive / management,2012-06-30-00-31,"san francisco, california","doesn't have kids, and doesn't want any",dislikes dogs and dislikes cats,agnosticism and very serious about it,capricorn and it&rsquo;s fun to think about,yes,english,616
41,single,m,straight,average,anything,socially,sometimes,graduated from college/university,white,73.0,100000,entertainment / media,2012-06-12-03-01,"san francisco, california",has a kid,has dogs,agnosticism and laughing about it,taurus but it doesn&rsquo;t matter,no,"english (fluently), french (poorly)",622
31,available,m,straight,thin,anything,socially,never,graduated from college/university,"hispanic / latin, white",74.0,20000,construction / craftsmanship,2012-01-18-12-26,"berkeley, california","doesn't have kids, but might want them",likes dogs and has cats,agnosticism and somewhat serious about it,aries but it doesn&rsquo;t matter,when drinking,"english (fluently), spanish (okay)",634
